A.S. Advertisement Pass,Location_Type,VENUE,AWARDED,Attendance_Ratio,DATE,Event_Type,Day_of_Week
No,Revelle,Natural Science Building (NSB) 3211,63.57,0.0,2024-11-01,GBM,Friday
Yes,Price Center,Price Center West Ballroom AB + East Ballroom + John Muir College Room + Marshall College Room + ERC College Room,6412.7,0.8779,2024-11-02,Social,Saturday
No,North Campus,Rimac Activity Room 3,200.0,0.09999999999999998,2024-11-02,Workshop,Saturday
No,SunGod,Sun God Lawn,229.67,0.0,2024-11-02,Social,Saturday
Yes,Price Center,Marshall College Room,334.56,1.0462,2024-11-04,Workshop,Monday
No,Price Center,Green Table Room,246.49,0.8925,2024-11-04,Social,Monday
Yes,Wong-Avery,Skaggs School of Pharmacy HSEC Classrooms 2&3,365.11,0.4656,2024-11-05,Social,Tuesday
Yes,Warren,Zweifach Library at PFBH (4th Floor),296.31,1.0125,2024-11-05,Speaker,Tuesday
-,Price Center,Warren College Room,386.0,1.114,2024-11-05,GBM,Tuesday
-,Price Center,Price Center ERC Room,115.21,1.4756,2024-11-06,GBM,Wednesday
Yes,Pepper Canyon,EnVision,300.0,1.2667,2024-11-06,GBM,Wednesday
No,Price Center,Price Center - Red Shoe Room,336.89,0.9202,2024-11-06,GBM,Wednesday
Yes,Price Center,Eleanor Roosevelt College Room,250.78,0.7975,2024-11-07,Workshop,Thursday
Yes,Pepper Canyon,Raza Centro Space PPCH #104,234.59,0.9378,2024-11-07,Workshop,Thursday
Yes,Revelle,NSB Auditorium,163.18,0.0,2024-11-07,Speaker,Thursday
No,Price Center,Marshall College Room,199.47,0.05010000000000003,2024-11-07,GBM,Thursday
Not Found,Price Center,Red shoe room,261.2,0.0,2024-11-07,Social,Thursday
-,Price Center,Price Center West,1290.18,0.3255,2024-11-08,Social,Friday
No,Price Center,Price Center - Marshall College Room,348.0,0.6609,2024-11-08,GBM,Friday
No,Mandeville Auditorium,The Hump,209.42,0.0,2024-11-08,Recruitment,Friday
No,Price Center,Price Center West Ballroom AB,2486.46,0.0,2024-11-10,Religion,Sunday
Yes,Warren,Zweifach Library - PFBH,125.49,0.9563,2024-11-12,Speaker,Tuesday
No,Price Center,Price Center - Eleanor Roosevelt College Room,300.0,0.3667,2024-11-12,GBM,Tuesday
Yes,Mandeville Auditorium,Stage Room,271.53,0.0,2024-11-12,GBM,Tuesday
-,Pepper Canyon,ASML Room,400.0,0.0,2024-11-12,GBM,Tuesday
-,Warren,CSE 1202,307.09,0.8141,2024-11-12,Social,Tuesday
Yes,Price Center,Price Center ERC Room,216.58,1.5236999999999998,2024-11-13,Social,Wednesday
Yes,Pepper Canyon,Envision,300.0,1.3333,2024-11-13,GBM,Wednesday
No,Price Center,Price Center Green Table Room,58.5,2.3932,2024-11-13,Social,Wednesday
No,Warren,Powell-Focht Bioengineering Hall Room 291,143.23,0.0,2024-11-13,Social,Wednesday
No,Price Center,Bear room,597.84,0.3345,2024-11-13,GBM,Wednesday
-,Revelle,NSB Auditorium,163.18,0.2451000000000001,2024-11-14,GBM,Thursday
-,Mandeville Auditorium,Student Services Center Multipurpose Room,981.44,0.0,2024-11-14,Competition,Thursday
-,Price Center,Price Center Ballroom East,688.37,0.6682,2024-11-14,GBM,Thursday
-,SunGod,Sun God Lawn,10.57,17.0293,2024-11-14,Social,Thursday
-,Pepper Canyon,RRC room 104,218.36,0.0,2024-11-14,Speaker,Thursday
-,Price Center,Bear Room,197.34,0.0,2024-11-21,Social,Thursday
-,Warren,Qualcomm Room,597.9,0.9533,2024-11-14,GBM,Thursday
-,Price Center,Marshall College Room,400.0,1.525,2024-11-14,Social,Thursday
-,Price Center,Ballroom West AB,1092.31,0.0,2024-11-15,Social,Friday
-,Revelle,Natural Science Building,333.0,1.1712,2024-11-15,GBM,Friday
-,Price Center,Price Center ERC Room,85.72,1.6332,2024-11-15,Workshop,Friday
-,Warren,Qualcomm Conference Center,550.0,1.1273,2024-11-15,Social,Friday
-,Mandeville Auditorium,Outdoor Events Hump,800.0,0.4375,2024-11-16,Social,Saturday
-,Mandeville Auditorium,Multipurpose Room,210.0,0.0,2024-11-16,Social,Saturday
-,Warren,Henry Booker Room,227.49,0.0,2024-11-16,Workshop,Saturday
-,Pepper Canyon,ASML,198.17,0.0,2024-11-16,Workshop,Saturday
-,Pepper Canyon,"Structural and Materials Engineering Building, Room 348",171.86,1.1056,2024-11-18,Workshop,Monday
-,Mandeville Auditorium,Stage Room & Patio,597.2,1.9089,2024-11-18,Social,Monday
-,Price Center,Price Center - Green Table Room,307.97,0.0,2024-11-18,Workshop,Monday
-,Mandeville Auditorium,Student Services Center Multipurpose Room,800.0,0.7125,2024-11-18,Social,Monday
-,Price Center,Price Center Marshall Room,199.47,1.504,2024-11-19,GBM,Tuesday
-,Warren,Qualcomm Room in Jacobs Hall,216.58,1.8931,2024-11-19,GBM,Tuesday
-,Price Center,Price Center - Bear Room,41.42,4.3457,2024-11-19,Social,Tuesday
-,Price Center,Price Center Forum,504.4,2.8548999999999998,2024-11-19,Recruitment,Tuesday
-,North Campus,Wells Fargo Hall 1N108,426.51,0.5627,2024-11-19,Social,Tuesday
-,Price Center,Warren College Room,400.0,0.0,2024-11-20,Social,Wednesday
-,Wong-Avery,Skaggs School of Pharmacy HSEC Classrooms 2&3,557.0,0.32319999999999993,2024-11-20,Social,Wednesday
-,Pepper Canyon,Envision,300.0,1.4,2024-11-20,GBM,Wednesday
-,Price Center,Green Table Room in Price,89.48,1.4528,2024-11-20,Social,Wednesday
-,Price Center,Price Center Red Shoe Room,342.7,0.0,2024-11-20,Social,Wednesday
-,Price Center,Price Center Theatre,773.91,1.7056,2024-11-20,GBM,Wednesday
-,Warren,Qualcomm Conference Center (both rooms),280.0,0.9643,2024-11-20,Speaker,Wednesday
-,Online,ONLINE,180.0,0.7222,2024-11-20,GBM,Wednesday
-,Price Center,Cross Cultural Center - Art Space,180.75,1.6598000000000002,2024-11-20,Social,Wednesday
-,Muir,Muir Field,323.25,0.0,2024-11-21,Competition,Thursday
-,Warren,CSE 1242,275.0,0.8364,2024-11-21,Social,Thursday
-,Revelle,NSB Auditorium,163.18,0.12260000000000004,2024-11-21,GBM,Thursday
