NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
Islam Awareness Week Tabling: Day 3,2/12/2025,Library Walk,$263.41 ,Not Found,20,24.07%,Religion,Library Walk
Seeing Angles for Social Media Production,2/12/2025,Price Center Red Shoe Room,$95.60 ,Not Found,,100.00%,Workshop,Price Center
Music and Memory Winter 24 GBM #3,2/12/2025,Price Center - Eleanor Roosevelt College Room,$344.58 ,No,15,56.47%,GBM,Price Center
Transfers in Science Puzzle Night Social,2/12/2025,Green Table Room,$200.00 ,Yes,10,50.00%,Social,Price Center
GBM #4,2/12/2025,Otterson Hall 1S114,$296.31 ,Not Found,21,29.13%,GBM,North Campus
GBM #2,2/12/2025,ASML Room,$474.10 ,Yes,49,-3.35%,GBM,Pepper Canyon
Letters to Self,2/12/2025,Cross Cultural Center - Art Space,$178.20 ,Yes,15,15.82%,Workshop,Pepper Canyon
AED Winter GBM 3,2/12/2025,PC Theater,$467.97 ,Yes,42,10.25%,GBM,Price Center
ABSA Collab with Speaker,2/13/2025,Red shoe Room,$598.05 ,Yes,22,63.21%,Speaker,Price Center
Valentine's Arts & Crafts,2/13/2025,Price Center Warren Room,$198.16 ,Yes,19,4.12%,Social,Price Center
Meet Your Match,2/13/2025,Triton Esports Center,$203.07 ,No,111,-446.61%,Social,North Campus
Valentine’s Day Social-Students For Global Health,2/13/2025,Price Center (ERC Room),$101.66 ,No,1,90.16%,Social,Price Center
Ai Sphere Symposium,2/13/2025,"Price Center, Governance Chambers",$100.00 ,No,,100.00%,GBM,Price Center
GBM #2 Guest Speaker Event,2/13/2025,Price Center - Green Table Room,$70.00 ,No,18,-157.14%,Speaker,Price Center
You're my Cheddar Half/Brie My Valentine,2/13/2025,Price Center Green Table Room,$500.85 ,No,47,6.16%,Social,Price Center
Islam Awareness Week Tabling: Day 4,2/13/2025,Library Walk,$404.50 ,Not Found,35,13.47%,GBM,Library Walk
IAW Night Event 4,2/13/2025,Multi-Purpose Room Student Services Center,"$1,529.86 ",No,58,62.09%,Social,Mandeville Auditorium
Valentines in Minecraft,2/14/2025,Bear Room,$147.50 ,Not Found,29,-96.61%,Social,Price Center
Music Streaming Device Workshop,2/14/2025,ECE Makerspace,$164.76 ,Yes,16,2.89%,Workshop,Warren
VFS@UCSD Resume Review,2/15/2025,EBU2 classrooms,$86.09 ,No,27,-213.63%,Workshop,Warren
Steel Bridge Field Day,2/15/2025,Sun God Lawn,$397.32 ,Not Found,23,42.11%,Social,SunGod
AnimeFest 2025,2/15/2025,Price Center,"$10,402.70 ",Yes,1025,1.47%,Social,Price Center
