NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
BSSA Mentor-Mentee Reveal,11/21/2024,Price Center West Ballroom A,$600.00 ,-,60,70,75,-16.67%,-25.00%,Good Standing,,Social,Price Center
Rubik's Cube Club GBM,11/21/2024,Student Center: Dolores Huerta / Philip Vera Cruz Meeting Room,$109.14 ,-,30,21,20,-92.41%,-83.25%,Good Standing,,GBM,Mandeville Auditorium
UC Santa Barbara at UC Santa Barbara,11/21/2024,UC Santa Barbara,"$3,000.00 ",-,0,,0,0.00%,100.00%,Good Standing,,Other,Off Campus
PUSH GBM #4,11/21/2024,Price Center - Marshall Room,$172.40 ,-,20,21,20,-21.81%,-16.01%,Good Standing,,GBM,Price Center
MYSA Boba Study Jam,11/21/2024,Price Center Bear Room,$395.72 ,-,40,50,53,-26.35%,-33.93%,Good Standing,,Social,Price Center
Miniature Painting Workshop,11/21/2024,Warren College room- Price Center,$397.64 ,-,40,33,0,17.01%,100.00%,Good Standing,,Workshop,Price Center
GBM 2,11/21/2024,PC Ballroom East,"$1,192.92 ",-,200,86,100,27.91%,16.17%,Good Standing,,GBM,Price Center
APAMSA PATHsgiving,11/21/2024,The Forum (Price Center),$282.25 ,-,35,23,21,18.51%,25.60%,Good Standing,,Social,Price Center
TSE FA24 All Hands 2,11/21/2024,CSE 1202,$517.09 ,-,90,77,90,-48.91%,-74.05%,Good Standing,,GBM,Warren
SASE FALL GBM 3,11/21/2024,Qualcomm Conference Center,$550.00 ,-,55,41,41,25.45%,25.45%,Good Standing,,GBM,Warren
NETS Coffee Talk,11/21/2024,SME 348,$277.13 ,-,30,14,37,49.48%,-33.51%,Good Standing,,Social,Pepper Canyon
URH and UMPS presentation,11/22/2024,Price Center - Warren College Room,$272.36 ,-,35,5,0,81.64%,100.00%,Good Standing,,Social,Price Center
ColorStack GBM #2,11/22/2024,CSE Building Room 4140,$244.27 ,-,30,22,0,9.94%,100.00%,Good Standing,,GBM,Warren
Tasting Student Org Fair,11/22/2024,Library Walk,"$2,501.55 ",-,300,155,0,38.04%,100.00%,Good Standing,,Social,Library Walk
Art Block & Study Session,11/22/2024,Bear Room,$253.85 ,-,30,30,0,-18.18%,100.00%,Good Standing,,Social,Price Center
Musicians’ Club Fall Finale,11/22/2024,Sun God Lawn,"$1,076.62 ",-,200,27,90,74.92%,16.41%,Good Standing,,Social,SunGod
Project Workshops,11/22/2024,CSE B225,$201.91 ,-,22,1,0,95.05%,100.00%,Good Standing,,Workshop,Warren
MEChA's Annual Queer Mixer,11/22/2024,Cross Cultural Center - Community Room,$484.88 ,-,50,55,48,-13.43%,1.01%,Good Standing,,Social,Price Center
Product Packing Event,11/23/2024,Warren College Room,$172.97 ,-,20,,0,100.00%,100.00%,Good Standing,,Social,Price Center
Slumber Party Vol. 5,11/23/2024,Molli and Arthur Dance Building Studio 3,$100.00 ,-,50,24,30,-140.00%,-200.00%,Good Standing,,Social,Theater District
Triton Flex Fall Bodybuilding Show,11/23/2024,Price Center Ballroom East,$422.38 ,-,99,,0,100.00%,100.00%,Good Standing,,Social,Price Center
Poker and Board Games,11/24/2024,CSE Basement,$987.64 ,-,99,,0,100.00%,100.00%,Good Standing,,Social,Warren
Fusheng Chinese Drama Troupe Fall Drama Festival Rehearsal & Performance,11/24/2024,Price Center Theater,$482.50 ,-,100,82,0,-69.95%,100.00%,Good Standing,,Social,Price Center
