DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week,log_Attendance_Ratio,log_AWARDED,Month
2024-10-31,Price Center,Religion,2000.0,No,0.645,Thursday,0.49774038421733524,7.601402334583733,2024-10
2024-10-31,North Campus,Social,600.0,Yes,2.15,Thursday,1.1474024528375417,6.398594934535208,2024-10
2024-10-31,Pepper Canyon,GBM,191.49,No,0.1043999999999999,Thursday,0.09930220107386221,5.260044204326544,2024-10
2024-10-31,Price Center,Social,573.45,Yes,1.273,Thursday,0.8211005448704061,6.353413061299374,2024-10
2024-11-02,Price Center,Social,6412.7,Yes,0.8779,Saturday,0.6301541312320236,8.766191606474472,2024-11
2024-11-02,North Campus,Workshop,200.0,No,0.0999999999999999,Saturday,0.09531017980432477,5.303304908059076,2024-11
2024-11-04,Price Center,Workshop,334.56,Yes,1.0462,Monday,0.7159844144627026,5.815800777978094,2024-11
2024-11-04,Price Center,Social,246.49,No,0.8925,Monday,0.6378987063294668,5.5113701771520756,2024-11
2024-11-05,Wong-Avery,Social,365.11,Yes,0.4656,Tuesday,0.3822647149377288,5.902933834694418,2024-11
2024-11-05,Warren,Speaker,296.31,Yes,1.0125,Tuesday,0.6993777303105814,5.694775365496226,2024-11
2024-11-05,Price Center,GBM,386.0,No,1.114,Tuesday,0.748581887448046,5.958424693029782,2024-11
2024-11-06,Price Center,GBM,115.21,No,1.4756,Wednesday,0.9064827908830694,4.755398899234782,2024-11
2024-11-06,Pepper Canyon,GBM,300.0,Yes,1.2667,Wednesday,0.8183250292881739,5.707110264748875,2024-11
2024-11-06,Price Center,GBM,336.89,No,0.9202,Wednesday,0.6524293472813864,5.822720398727715,2024-11
2024-11-07,Price Center,Workshop,250.78,Yes,0.7975,Thursday,0.5863968106130647,5.528555690338113,2024-11
2024-11-07,Pepper Canyon,Workshop,234.59,Yes,0.9378,Thursday,0.6615533089687666,5.462093006054893,2024-11
2024-11-07,Price Center,GBM,199.47,No,0.0501,Thursday,0.04888539772981063,5.300664609616385,2024-11
2024-11-08,Price Center,Social,1290.18,No,0.3255,Friday,0.2817897467469432,7.163311807928559,2024-11
2024-11-08,Price Center,GBM,348.0,No,0.6609,Friday,0.5073596241228161,5.855071922202427,2024-11
2024-11-12,Warren,Speaker,125.49,Yes,0.9563,Tuesday,0.6710549340851293,4.84016325365945,2024-11
2024-11-12,Price Center,GBM,300.0,No,0.3667,Tuesday,0.31239907498861774,5.707110264748875,2024-11
2024-11-12,Warren,Social,307.09,No,0.8141,Tuesday,0.5955894769651399,5.7303919480814,2024-11
2024-11-13,Price Center,Social,216.58,Yes,1.5236999999999998,Wednesday,0.9257260786606402,5.382566598992937,2024-11
2024-11-13,Pepper Canyon,GBM,300.0,Yes,1.3333,Wednesday,0.8472835745708761,5.707110264748875,2024-11
2024-11-13,Price Center,Social,58.5,No,2.3932,Wednesday,1.2217734289514426,4.085976312551584,2024-11
2024-11-13,Price Center,GBM,597.84,No,0.3345,Wednesday,0.28855668986244176,6.394994450581636,2024-11
2024-11-14,Revelle,GBM,163.18,No,0.2451000000000001,Thursday,0.21921584797622987,5.10096338692012,2024-11
2024-11-14,Price Center,GBM,688.37,No,0.6682,Thursday,0.5117452008253744,6.535778137034955,2024-11
2024-11-14,SunGod,Social,10.57,No,17.0293,Thursday,2.8919982122796286,2.448415541205585,2024-11
2024-11-14,Warren,GBM,597.9,No,0.9533,Thursday,0.669520249928789,6.395094639270416,2024-11
2024-11-14,Price Center,Social,400.0,No,1.525,Thursday,0.9262410627273231,5.993961427306569,2024-11
2024-11-15,Revelle,GBM,333.0,No,1.1712,Friday,0.7752800100984677,5.8111409929767,2024-11
2024-11-15,Price Center,Workshop,85.72,No,1.6332,Friday,0.9681998366115846,4.462684537691336,2024-11
2024-11-15,Warren,Social,550.0,No,1.1273,Friday,0.7548535699959236,6.311734809152915,2024-11
2024-11-16,Mandeville Auditorium,Social,800.0,No,0.4375,Saturday,0.3629054936893685,6.68586094706836,2024-11
2024-11-18,Pepper Canyon,Workshop,171.86,No,1.1056,Monday,0.744600462148861,5.152482018324492,2024-11
2024-11-18,Mandeville Auditorium,Social,597.2,No,1.9089,Monday,1.0677750028479416,6.393925146195848,2024-11
2024-11-18,Mandeville Auditorium,Social,800.0,No,0.7125,Monday,0.5379542911542433,6.68586094706836,2024-11
